id,title,author,author_birth_year,author_death_year,downloads
770,The Story of the Treasure Seekers: Being the Adventures of the Bastable Children in Search of a Fortune,"Nesbit, E. (Edith)",1858,1924,251
39316,The Loyalists of Massachusetts and the Other Side of the American Revolution,"Stark, James Henry",0,0,251
126,The Poison Belt,"Doyle, Arthur Conan",1859,1930,250
2777,Cabbages and Kings,"Henry, O.",1862,1910,250
33224,Principles of Geology,"Lyell, Charles, Sir",1797,1875,250
36853,A Very Naughty Girl,"Meade, L. T.",1854,1914,250
18674,A Chinese Wonder Book,"Pitman, Norman Hinsdale",1876,1925,250
1735,Sophist,Plato,-428,-348,250
11615,The Grammar of English Grammars,"Brown, Goold",1791,1857,249
106,Jungle Tales of Tarzan,"Burroughs, Edgar Rice",1875,1950,249
53535,Common Trees of Pennsylvania,"Ibberson, Joseph E.",1917,0,249
9660,The First Blast of the Trumpet against the monstrous regiment of Women,"Knox, John",0,1572,249
729,"Hackers, Heroes of the Computer Revolution: Chapters 1 and 2","Levy, Steven",1951,0,249
19926,Standard Selections,,0,0,249
23673,The St. Gregory Hymnal and Catholic Choir Book,,0,0,249
43348,"The Paston Letters, A.D. 1422-1509. Volume 1 (of 6): New Complete Library Edition",,0,0,249
2272,The Discovery of Guiana,"Raleigh, Walter",0,1618,249
12815,"American Cookery: The Art of Dressing Viands, Fish, Poultry, and Vegetables","Simmons, Amelia",0,0,249
15408,"Three Lives: Stories of The Good Anna, Melanctha and The Gentle Lena","Stein, Gertrude",1874,1946,249
125,A Girl of the Limberlost,"Stratton-Porter, Gene",1863,1924,249
38067,A Select Collection of Valuable and Curious Arts and Interesting Experiments,Unknown,0,0,249
873,A House of Pomegranates,"Wilde, Oscar",1854,1900,249
48105,"Dictionary of Quotations from Ancient and Modern, English and Foreign Sources","Wood, James, Rev.",0,0,249
8446,The Enormous Room,"Cummings, E. E. (Edward Estlin)",1894,1962,248
49461,Bartholomew Fair: A Comedy,"Jonson, Ben",0,1637,248
1743,Twelve Stories and a Dream,"Wells, H. G. (Herbert George)",1866,1946,248
961,Glinda of Oz,"Baum, L. Frank (Lyman Frank)",1856,1919,247
28961,Cuore (Heart): An Italian Schoolboy's Journal,"De Amicis, Edmondo",1846,1908,247
32596,The Revolt of the Angels,"France, Anatole",1844,1924,247
706,The Amateur Cracksman,"Hornung, E. W. (Ernest William)",1866,1921,247
12587,The Man Who Laughs: A Romance of English History,"Hugo, Victor",1802,1885,247
1154,The Voyages of Doctor Dolittle,"Lofting, Hugh",1886,1947,247
19690,Apologia pro Vita Sua,"Newman, John Henry",1801,1890,247
4519,The Descent of Man and Other Stories,"Wharton, Edith",1862,1937,247
1171,The Apology,Xenophon,-431,-355,247
17797,Memoir of Jane Austen,"Austen-Leigh, James Edward",1798,1874,246
18459,Hypnerotomachia: The Strife of Loue in a Dreame,"Colonna, Francesco",0,1527,246
2609,The Vicomte De Bragelonne,"Dumas, Alexandre",1802,1870,246
14313,One of the 28th: A Tale of Waterloo,"Henty, G. A. (George Alfred)",1832,1902,246
58465,Gypsy Sorcery and Fortune Telling,"Leland, Charles Godfrey",1824,1903,246
48193,"Commentary on Genesis, Vol. 1: Luther on the Creation","Luther, Martin",1483,1546,246
1787,Hamlet,"Shakespeare, William",1564,1616,246
17845,"Salem Witchcraft, Volumes I and II","Upham, Charles Wentworth",1802,1875,246
58718,Bobby Blake in the Frozen North: The Old Eskimo's Last Message,"Warner, Frank A.",0,0,246
14006,An English Grammar,"Baskervill, William Malone",1850,1899,245
7785,Leonardo Da Vinci,"Brockwell, Maurice W.",1869,1958,245
10684,A History of Freedom of Thought,"Bury, J. B. (John Bagnell)",1861,1927,245
18971,"Jacobean Embroidery: Its Forms and Fillings, Including Late Tudor","Hands, A. F. Morris",0,0,245
58821,"The Works of Theodore Roosevelt, Volume 12 (of 14): The Strenuous Life","Roosevelt, Theodore",1858,1919,245
8190,A Wodehouse Miscellany: Articles & Stories,"Wodehouse, P. G. (Pelham Grenville)",1881,1975,245
54726,The Ladies' Paradise,"Zola, Emile",1840,1902,245
24979,A Source Book for Ancient Church History,"Ayer, Joseph Cullen",1866,1944,244
30568,"Kipling Stories and Poems Every Child Should Know, Book II","Kipling, Rudyard",1865,1936,244
51233,The Marching Morons,"Kornbluth, C. M. (Cyril M.)",1923,1958,244
18972,Zadig,Voltaire,1694,1778,244
31565,Index of the Project Gutenberg Works of Balzac,"Balzac, Honore de",1799,1850,243
6408,Letters of Anton Chekhov to His Family and Friends,"Chekhov, Anton Pavlovich",1860,1904,243
13347,Wildflowers of the Farm,"Cooke, Arthur O. (Arthur Owens)",1867,1930,243
2349,The Adventure of the Devil's Foot,"Doyle, Arthur Conan",1859,1930,243
31377,Weird Tales. Vol. 1 (of 2),"Hoffmann, E. T. A. (Ernst Theodor Amadeus)",1776,1822,243
4264,The Golden Bowl - Complete,"James, Henry",1843,1916,243
8120,"The Life of St. Teresa of Jesus, of the Order of Our Lady of Carmel","Teresa, of Avila, Saint",1515,1582,243
3431,The Gadfly,"Voynich, E. L. (Ethel Lillian)",1864,1960,243
16726,Four Weird Tales,"Blackwood, Algernon",1869,1951,242
2064,A Journey to the Western Islands of Scotland,"Johnson, Samuel",1709,1784,242
4239,An Essay on the Principle of Population,"Malthus, T. R. (Thomas Robert)",1766,1834,242
16247,Famous Stories Every Child Should Know,,0,0,242
426,Tales and Fantasies,"Stevenson, Robert Louis",1850,1894,242
2480,Under Western Eyes,"Conrad, Joseph",1857,1924,241
